,topic,link,replies,views
40537,Sprite Running Away from Sprite,/discuss/topic/17467/,8,8499
40474,Sprite Running Away from Sprite,/discuss/topic/17467/,8,8497
29329,Zooming in on backgrounds.,/discuss/topic/5526/,17,8492
33568,>>>>>>>>>IF YOU NEED HELP READ THIS<<<<<<<<<<,/discuss/topic/200847/,57,8312
7380,How do you duplicate a sprite?,/discuss/topic/86390/,14,8258
8632,Help Getting X and Y position of a Sprite!,/discuss/topic/333019/,27,8120
30859,Algorithm to check if a number is prime,/discuss/topic/10850/,16,8116
41367,How to make imputable character name?,/discuss/topic/6750/,20,8103
41354,how to make a script stop and then start all over again?,/discuss/topic/36885/,25,8020
16850,How to identify specific clones?,/discuss/topic/4800/,27,7997
45189,ITopic - How To Get The BEST Results From The Help With Scripts Forum,/discuss/topic/44141/,47,7993
38969,How can I get different fonts?,/discuss/topic/6375/,18,7875
37563,How to makje a 3D engine?,/discuss/topic/31092/,29,7875
39727,How do you make a pause button?,/discuss/topic/11018/,32,7788
10089,How Do you make a Main Menu?,/discuss/topic/9365/,12,7767
10045,How Do you make a Main Menu?,/discuss/topic/9365/,12,7759
10014,How Do you make a Main Menu?,/discuss/topic/9365/,12,7756
10925,How do I mirror a sprite using scripts,/discuss/topic/9945/,14,7753
14513,How to do HP bar?,/discuss/topic/78948/,14,7705
1,How to better format your topic!,/discuss/topic/365349/,87,7691
4127,"The end of ""Double click the green flag""",/discuss/topic/114312/,53,7687
8720,How to make a gun fire a bullet?,/discuss/topic/183138/,33,7637
28988,how do I stop just one sound?,/discuss/topic/97954/,21,7625
28941,how do I stop just one sound?,/discuss/topic/97954/,21,7623
9976,How do I make a scrolling background?,/discuss/topic/257055/,9,7550
40381,How can i change the background by pressing a Sprite?,/discuss/topic/5404/,14,7518
37488,How do you make your sprite move diagonal?,/discuss/topic/26333/,17,7452
31099,Finding the Highest Number in a List,/discuss/topic/29715/,7,7404
38188,Get background to change when two sprites touch,/discuss/topic/64618/,9,7363
47263,How to make sprites spawn,/discuss/topic/5760/,4,7321
47225,How to make sprites spawn,/discuss/topic/5760/,4,7320
27096,sprites on only one stage not all,/discuss/topic/83452/,23,7300
7483,Answers depending on yes/no choices.,/discuss/topic/203116/,27,7254
40928,My sprite won't move!,/discuss/topic/48314/,9,7243
19468,how do you make a sprite kick a soccer ball,/discuss/topic/172514/,16,7211
20136,Sprite turns upside down,/discuss/topic/28333/,20,7175
5459,how do you make snow fall?,/discuss/topic/23283/,23,7141
5377,how do you make snow fall?,/discuss/topic/23283/,23,7140
30426,How do you make one character follow another?,/discuss/topic/31240/,38,7090
29121,how to make clones go to clones,/discuss/topic/38933/,35,7084
10388,Detecing if a variable is a number or a word,/discuss/topic/56380/,22,7073
9966,PLATFORMER GRAVITY,/discuss/topic/279691/,30,7055
13039,Show/Hide Sprites,/discuss/topic/285034/,14,7049
46711,I want to make a chat room but how?,/discuss/topic/56540/,24,7038
30754,"Make Sprite disappear when ""eaten by Shark""",/discuss/topic/25095/,25,7026
38329,How To Make An Enemy Move,/discuss/topic/12070/,11,7023
28559,How to recover a sprite you deleted,/discuss/topic/208581/,8,6969
33515,How do I use the arrow keys to make a sprite move?,/discuss/topic/35947/,24,6941
28745,How to play random sounds?,/discuss/topic/39721/,25,6921
40524,Renaming Sprites,/discuss/topic/5595/,9,6871
40461,Renaming Sprites,/discuss/topic/5595/,9,6870
44412,How to stop in the middle of a glide,/discuss/topic/5378/,21,6843
5879,How Do I Use The Backpack?,/discuss/topic/32930/,39,6799
42770,leg movement,/discuss/topic/7362/,11,6773
2524,Randomly pick sprites,/discuss/topic/56502/,20,6728
44680,How to make script that saves game progress?,/discuss/topic/21300/,35,6717
24826,Snake Game,/discuss/topic/79342/,17,6708
36700,Adding a Score to the Pong game,/discuss/topic/85290/,16,6664
14827,"How to make a sprite move when you klick a button ( up, down, left or right )",/discuss/topic/16640/,17,6641
37392,I need help with getting sprites not to go through walls.,/discuss/topic/38277/,29,6634
14339,looping through a list,/discuss/topic/26012/,9,6610
12005,How To Press Two Keys at the Same Time,/discuss/topic/217593/,20,6579
41647,"Help! Why isn't ""touching _"" in Sensing working?",/discuss/topic/12513/,29,6533
2871,How to get bullet  to bounce off walls?,/discuss/topic/15361/,31,6531
30193,"I Need A ""Fade in Fade Out"" effect",/discuss/topic/61748/,12,6523
36610,How To Make A Sprite Follow Another Sprite,/discuss/topic/112678/,14,6518
36305,How to use cloud variables....,/discuss/topic/3740/,29,6502
32380,How to make a selection of sprites then only show the one you picked?,/discuss/topic/114832/,12,6495
25480,How do you make a name generator?,/discuss/topic/239433/,19,6474
13493,HELP! Cannot make sprite disappear and reappear in loop.,/discuss/topic/17062/,18,6467
7830,How do you make the pen draw,/discuss/topic/131378/,30,6456
32183,"""Pick random"" number help",/discuss/topic/55904/,25,6435
2728,Changing the speed of an object,/discuss/topic/29689/,12,6414
1273,ITopic: Want to make 3D?  Click here!,/discuss/topic/59444/,24,6409
41514,Stopping looping music.,/discuss/topic/30937/,13,6373
49887,Help with finding Minimum Value from a list,/discuss/topic/17034/,2,6364
44248,How do I loop sound a on key press but stop when key is released?,/discuss/topic/16013/,9,6325
21289,Help with moving two objects at same time.,/discuss/topic/19628/,13,6323
26461,how do I make it so the user can click and drag,/discuss/topic/15798/,27,6300
22242,How do i get access to use the cloud data in my creations?,/discuss/topic/115958/,65,6226
5007,fill color,/discuss/topic/9723/,23,6223
14853,How to set Max/Min slider amount (variable),/discuss/topic/59906/,39,6217
22165,How do i get access to use the cloud data in my creations?,/discuss/topic/115958/,65,6214
10566,How to make animations on scratch ?,/discuss/topic/112442/,13,6181
27851,Touching Clones,/discuss/topic/16074/,13,6163
5735,How to make a Menu in your Scratch game,/discuss/topic/7942/,17,6141
37662,Background Music,/discuss/topic/27353/,8,6139
37728,Using the shift key,/discuss/topic/27132/,28,6121
1949,Is there a way to export a Scratch game to a .exe file?,/discuss/topic/234517/,16,6121
26579,How to make a shop,/discuss/topic/18515/,16,6120
38710,Is there any way to let a sprite go off screen?,/discuss/topic/2932/,11,6117
23805,Sound not playing,/discuss/topic/136812/,21,6104
36782,How to make a moving background,/discuss/topic/63240/,8,6093
5638,Touching sensing not working at times,/discuss/topic/35015/,15,6068
46279,Needing some help with a game... 4 things.,/discuss/topic/10765/,72,6019
18881,How to wall jump,/discuss/topic/36121/,21,6008
32938,How To Make A Text Engine,/discuss/topic/15039/,29,5999
13021,How do i make random position,/discuss/topic/39589/,13,5987
41335,how do make a sprite die when its hp reahes zero(0),/discuss/topic/57814/,14,5981
39092,help making sprites follow a path,/discuss/topic/44524/,10,5977
27814,"What does the ""abs"" mean?",/discuss/topic/27143/,16,5973
28119,rounding percentages to equal 100%,/discuss/topic/240122/,9,5970
14453,How do i make a sprite not go through walls...?,/discuss/topic/289837/,11,5969
5546,How do you display variables in text form?,/discuss/topic/193863/,9,5969
42455,How can you put a script in a backpack?,/discuss/topic/3559/,25,5934
43366,Making power ups,/discuss/topic/68524/,11,5919
31933,Adding music to a project,/discuss/topic/217112/,5,5893
30129,How to make sprites move randomly in a maze?,/discuss/topic/19769/,15,5890
30066,How to make sprites move randomly in a maze?,/discuss/topic/19769/,15,5888
21663,How to make levels progress after reaching a certain amount of points ?,/discuss/topic/46855/,21,5823
14632,Making your sprite go to your mouse pointer.,/discuss/topic/41395/,31,5815
22094,How to make a game  stop if score reaches a certain amount,/discuss/topic/194445/,12,5813
29260,how to make my game restart if a sprite hits another sprite,/discuss/topic/116874/,6,5785
12943,Cloud Variables in Scratch 3.0,/discuss/topic/341089/,14,5784
29205,how to make my game restart if a sprite hits another sprite,/discuss/topic/116874/,6,5783
35340,Glide To Sprite,/discuss/topic/65914/,8,5754
30581,How do you make a sprite move faster? Help me please!,/discuss/topic/21258/,11,5710
29369,Enemy spawn and clone problems,/discuss/topic/34693/,17,5680
11314,Explain!!!!! HOW TO MAKE A 3D GAME,/discuss/topic/285539/,17,5677
32520,Create random questions,/discuss/topic/6108/,20,5668
36839,How to delete a specific clone.,/discuss/topic/43374/,17,5638
51447,Need help with Word Guessing game!,/discuss/topic/27820/,3,5634
44722,Picking a random item from a list?,/discuss/topic/118410/,2,5599
35184,How do I make the backdrop change when the sprite touches a certain edge?,/discuss/topic/110066/,7,5551
15030,Hiding a sprite in a new backdrop,/discuss/topic/242448/,8,5541
40584,How to control sprite using arrow keys?,/discuss/topic/33232/,13,5493
10153,How to make my sprites disappear when clicked,/discuss/topic/72320/,47,5483
7719,How To Put Music In Scratch Project,/discuss/topic/368462/,34,5456
42538,Broadcast Messages Don't Work. Repeat Until Blocks don't Work. What should i do!?!?,/discuss/topic/7284/,29,5452
32415,How to damage the enemy?,/discuss/topic/49222/,13,5436
47510,Is this the simplest way to go to a previous costume?,/discuss/topic/20166/,6,5434
22511,How to restart a script,/discuss/topic/215984/,8,5433
22460,How to restart a script,/discuss/topic/215984/,8,5431
40304,speech bubble posistion problem,/discuss/topic/75618/,10,5426
40253,speech bubble posistion problem,/discuss/topic/75618/,10,5424
27147,Shooting in direction,/discuss/topic/95042/,20,5421
37627,Font Size.,/discuss/topic/25486/,8,5404
24500,Sprite Speed?,/discuss/topic/216620/,16,5394
45193,How to make moving enemies in a platform game,/discuss/topic/15741/,13,5369
2606,Coding and Decoding cloud variables,/discuss/topic/91772/,38,5361
28872,How to add a new screen? how to make it go to the new screen,/discuss/topic/29201/,4,5352
9368,"How do I make a sprite go to a random position, but not overlapping another sprite?",/discuss/topic/245723/,27,5351
17517,Removing specific item from a list,/discuss/topic/10085/,26,5345
1761,Making clones shoot bullets,/discuss/topic/2686/,23,5345
17568,Removing specific item from a list,/discuss/topic/10085/,26,5345
13608,Use if statements with variables? (FIXED),/discuss/topic/205145/,10,5341
13555,Use if statements with variables? (FIXED),/discuss/topic/205145/,10,5335
38349,How to create stopwatch?,/discuss/topic/93722/,9,5309
14738,How do I change backgrounds when variable (score) reaches a certain number?,/discuss/topic/147684/,10,5307
37631,Realistic Bouncing Script,/discuss/topic/18121/,14,5284
10533,ITopic: 5 Easy Steps to Becoming a Better Programmer,/discuss/topic/167292/,51,5271
38933,How can I make powers in Scratch?,/discuss/topic/5902/,16,5260
23465,How can I make a leaderboard Scratch,/discuss/topic/279265/,1,5250
32095,How Do I Repeat A Song It Doesn't Let Me Repeat It!,/discuss/topic/62288/,8,5239
28419,How to make a sprite chase another sprite?,/discuss/topic/135340/,4,5220
41458,Random maze movement,/discuss/topic/8209/,12,5192
14741,how do i brodcast the score at the end of the game?????????????!!!,/discuss/topic/40600/,19,5172
22820,Slope Glitch ?,/discuss/topic/237721/,10,5164
50862,Random number but not the previous one,/discuss/topic/13930/,13,5155
2703,How to crop sprites properly,/discuss/topic/177449/,20,5141
24199,NEED HELP WITH SCREEN FOLLOWING SPRITE,/discuss/topic/26379/,6,5101
999,Calculating Bounce Angle,/discuss/topic/185266/,14,5086
45039,How would I make these 2 sprites stop moving and fight each other?,/discuss/topic/16036/,18,5085
13011,Shops/Currency,/discuss/topic/9337/,40,5084
50727,How do I create an online virtual world game?,/discuss/topic/31462/,9,5067
44864,Bouncing ball,/discuss/topic/55598/,4,5057
38867,How to stop the timer when you win?,/discuss/topic/145480/,23,5033
14548,Bigger map,/discuss/topic/13768/,15,5018
32151,How do I change the background using variables?,/discuss/topic/5442/,17,5008
636,Variable in Text,/discuss/topic/171434/,18,4999
35225,Stopping one sound and starting another,/discuss/topic/41533/,18,4969
35264,Stopping one sound and starting another,/discuss/topic/41533/,18,4969
37958,Removing unused messages,/discuss/topic/20961/,4,4943
31576,I'm trying to make a game with falling objects,/discuss/topic/29911/,23,4943
21200,HELP!!!! How can I record sound???!??!!,/discuss/topic/207648/,18,4941
23144,A clone detecting a clone?,/discuss/topic/79820/,43,4936
26998,How do I use a Cloud Highscore?!?!,/discuss/topic/45368/,18,4932
26959,How do I use a Cloud Highscore?!?!,/discuss/topic/45368/,18,4930
25955,Saving files to a USB,/discuss/topic/32258/,9,4929
1562,Why is a Sprite Making Clones of Clones?,/discuss/topic/52550/,60,4929
44302,How to round a number to a set amount of decimal places?,/discuss/topic/22443/,6,4910
35163,How to make a sprite do something when it's clicked,/discuss/topic/77134/,15,4884
2918,How do I do more than one level?,/discuss/topic/169980/,27,4882
27310,choosing a character/sprite,/discuss/topic/59538/,20,4880
46941,how to make a sprite bounce off colors,/discuss/topic/44900/,13,4879
22695,SPRITES NOT SHOWING!? PLEASE HELP!,/discuss/topic/43198/,31,4832
28890,Disappearing Sprites,/discuss/topic/3730/,10,4825
1087,HOW TO MAKE A HIGH SCORE CHART ON SCRATCH,/discuss/topic/239323/,39,4777
38434,Switching costume when mouse hover?,/discuss/topic/28349/,13,4773
41006,Combo keys (3 or more keys pressed at the same time?),/discuss/topic/17907/,23,4769
36897,"""More Blocks"" Function Bugged",/discuss/topic/9102/,44,4707
18547,its going to fast...how to slow it down??,/discuss/topic/10502/,16,4698
18499,its going to fast...how to slow it down??,/discuss/topic/10502/,16,4696
5222,How to make a multiplayer sandbox building game like minecraft,/discuss/topic/36377/,32,4693
15495,How to make a top down scroller RPG?,/discuss/topic/8644/,11,4686
7077,How to get a sprite to cling to another sprite,/discuss/topic/64992/,41,4681
47921,How do I draw a circle using scripts?,/discuss/topic/16284/,7,4668
47857,How do I draw a circle using scripts?,/discuss/topic/16284/,7,4668
13869,How to add lives?,/discuss/topic/197191/,7,4660
45207,How do I make a Choose Your Own Adventure game?,/discuss/topic/113364/,2,4648
35539,How Pathing Works,/discuss/topic/7160/,6,4644
30724,How do you keep score?,/discuss/topic/45561/,10,4641
12965,How Do I Make A Transparent Sprite?,/discuss/topic/287563/,17,4617
24555,Detecting if a letter is uppercase or lowercase,/discuss/topic/5851/,18,4616
10841,How do I make a sprite appear at a random position at the top border?,/discuss/topic/280675/,33,4611
40554,How Do I Convert Words To Numbers Easily?,/discuss/topic/144996/,13,4605
9053,Could someone help with a win screen?,/discuss/topic/121946/,14,4599
12428,How to make a sprite unable to pass a certain color,/discuss/topic/27625/,26,4576
9523,Saving Game Progress,/discuss/topic/202080/,41,4525
45776,How to make charecters move with the keyboard?,/discuss/topic/11214/,16,4516
35125,HOW DO YOU MAKE A SPRITE SHAKE?,/discuss/topic/178565/,5,4501
7645,ADDING NUMBERS IN A LIST,/discuss/topic/36101/,9,4493
29492,How do you turn a scratch program to code??,/discuss/topic/107804/,9,4492
27862,how to i make my sprite punch.,/discuss/topic/9446/,11,4488
2667,How to randomly generate sprites.,/discuss/topic/55128/,12,4471
28027,How can I tell if two clones are touching each other?,/discuss/topic/2661/,24,4433
1064,How do i make a sprite shoot a ball?,/discuss/topic/195567/,11,4432
37306,If incorrect re-ask question,/discuss/topic/85890/,9,4430
21613,How to make ghosts chase Pacman,/discuss/topic/204231/,11,4428
22483,How do I make enemies follow my sprite?,/discuss/topic/22811/,8,4428
14696,how to add a timer to your game,/discuss/topic/29090/,9,4426
24142,How do I clear a list?,/discuss/topic/53028/,6,4406
29803,How to take damage,/discuss/topic/186644/,11,4405
21838,How to make an average of numbers from a list?,/discuss/topic/20036/,6,4393
12594,Need help making die/end game script,/discuss/topic/10250/,8,4387
41597,Taking a Picture?,/discuss/topic/7166/,16,4382
23688,Hold down key,/discuss/topic/17869/,3,4379
123,Clone XY position,/discuss/topic/169433/,18,4374
27903,How to make the classic Frogger game,/discuss/topic/198308/,4,4373
17937,Stopping sounds,/discuss/topic/118128/,42,4368
47525,Drawing cirkels and triangles,/discuss/topic/5138/,21,4351
13124,How to make script using mouse clicks,/discuss/topic/233432/,11,4340
53639,Bejeweled clone [Very Complicated Scripting],/discuss/topic/14015/,33,4338
10066,Rotating a sprite,/discuss/topic/244110/,15,4337
7095,How to make a clickable button?,/discuss/topic/231557/,19,4325
24548,How do i jump smoothly and move?,/discuss/topic/82818/,19,4322
3258,Duplication bug,/discuss/topic/409566/,31,4322
3312,Duplication bug,/discuss/topic/409566/,31,4322
7040,How to make a clickable button?,/discuss/topic/231557/,19,4313
27289,Making a sprite move back when touched by another sprite,/discuss/topic/106196/,9,4310
6831,How do I lock my Sprite's position?,/discuss/topic/94318/,22,4301
14140,how do you create a simple drag and drop game?,/discuss/topic/71594/,18,4300
22597,scripts with pen - need help?,/discuss/topic/137212/,166,4300
34312,How can i get my sprite to jump up then back down when i only press the space bar,/discuss/topic/44984/,7,4292
11312,How do I flip my scratch character around?,/discuss/topic/257098/,13,4280
33422,"How export Scratch ""movie"" to a format can upload to YouTube?",/discuss/topic/11110/,5,4280
21093,How Do You Make An Endless Runner Game?,/discuss/topic/221206/,6,4278
23746,How to make a sprite go to a clone,/discuss/topic/187668/,8,4277
36395,How to make one sprite move randomly between 5 different sprites?,/discuss/topic/15033/,10,4244
21977,NEED HELP PLZZZ!! DUE IN SOON!!,/discuss/topic/287817/,2,4222
3192,Collision Detection in a Platformer,/discuss/topic/14061/,20,4201
14152,How to disable Turbo Mode?,/discuss/topic/27480/,7,4201
12925,"Help with ""space invaders"" type game? Unsure about how to implement certain functions...",/discuss/topic/16157/,12,4196
3865,Round to 2 decimal place?,/discuss/topic/190943/,11,4192
7624,How to make a platformer?,/discuss/topic/288432/,28,4187
33528,how to make something with a certain percent chance happening,/discuss/topic/54320/,19,4186
7580,How to make a platformer?,/discuss/topic/288432/,28,4179
7442,How do you make a scrolling platformer?,/discuss/topic/196051/,18,4176
22613,how do you make a sprite spin?,/discuss/topic/204409/,8,4175
32385,Epic Font Engine,/discuss/topic/30340/,34,4159
35770,Return value from custom block,/discuss/topic/5957/,6,4149
35705,Return value from custom block,/discuss/topic/5957/,6,4147
30383,File may be damaged (key not found),/discuss/topic/7656/,11,4126
